	max_domain	people	clothing	animals_plants	home	food	vehicles	buildings	SUM
$drawer	home	0.00	0.00	0.00	2.54	0.00	0.00	0.00	2.54
$gawn	people	1.47	0.71	0.00	0.36	0.00	0.00	0.00	2.54
$dug out	buildings	0.00	0.00	0.00	0.00	0.00	0.00	2.54	2.54
$barn	buildings	0.00	0.00	0.00	0.00	0.00	0.00	2.51	2.51
$glasses	people	1.19	0.17	0.00	0.58	0.57	0.00	0.00	2.51
$see	people	1.00	0.00	0.93	0.00	0.00	0.35	0.24	2.51
$sinks	home	0.00	0.00	0.00	2.50	0.00	0.00	0.00	2.50
$mobile phone	people	0.88	0.62	0.00	0.61	0.25	0.00	0.14	2.50
$sheet	home	0.00	0.00	0.24	1.90	0.00	0.11	0.25	2.50
$bride	people	2.35	0.14	0.00	0.00	0.00	0.00	0.00	2.49
$chef	people	1.82	0.44	0.00	0.11	0.00	0.11	0.00	2.48
$herd	animals_plants	0.00	0.00	2.46	0.00	0.00	0.00	0.00	2.46
$rider	people	1.85	0.25	0.20	0.00	0.00	0.00	0.14	2.45
$beat	home	0.25	0.11	0.00	2.08	0.00	0.00	0.00	2.44
$cats	animals_plants	0.00	0.12	1.24	0.71	0.00	0.37	0.00	2.44
$pipe	home	0.00	0.65	0.12	0.89	0.00	0.12	0.63	2.42
$toilet bowl	home	0.00	0.00	0.00	2.30	0.00	0.11	0.00	2.41
$platter	home	0.00	0.33	0.00	1.93	0.14	0.00	0.00	2.40
$cakes	home	0.00	0.11	0.00	1.61	0.67	0.00	0.00	2.39
$overhang	buildings	0.00	0.00	0.00	0.11	0.00	0.00	2.27	2.38
$eater	people	2.38	0.00	0.00	0.00	0.00	0.00	0.00	2.38
$wave	clothing	0.20	2.16	0.00	0.00	0.00	0.00	0.00	2.36
$cows	animals_plants	0.00	0.00	2.35	0.00	0.00	0.00	0.00	2.35
$airoplaine	vehicles	0.00	0.00	0.00	0.00	0.00	2.33	0.00	2.33
$closet	home	0.00	0.00	0.00	2.02	0.00	0.00	0.31	2.33
$sky	vehicles	0.83	0.12	0.12	0.00	0.00	0.99	0.25	2.33
$fire truck	vehicles	0.00	0.00	0.00	0.00	0.12	2.09	0.11	2.32
$stairs	buildings	0.00	0.00	0.00	0.88	0.00	0.25	1.18	2.31
$worker	people	2.18	0.00	0.00	0.00	0.00	0.12	0.00	2.31
$potatoes	food	0.12	0.00	0.12	0.39	1.66	0.00	0.00	2.30
$stadium	buildings	0.11	0.00	0.00	0.12	0.00	0.00	2.07	2.30
$hoarse	animals_plants	0.00	0.00	2.28	0.00	0.00	0.00	0.00	2.28
$wedding dress	clothing	0.46	1.82	0.00	0.00	0.00	0.00	0.00	2.28
$galss	home	0.22	0.00	0.00	2.06	0.00	0.00	0.00	2.28
$tire	vehicles	0.11	0.00	0.00	0.00	0.12	2.04	0.00	2.28
$motor cycle	vehicles	0.00	0.00	0.00	0.00	0.00	2.26	0.00	2.26
$bathroom	home	0.00	0.00	0.11	1.80	0.00	0.00	0.35	2.26
$cabinetry	home	0.00	0.00	0.00	2.26	0.00	0.00	0.00	2.26
$beds	home	0.00	0.00	0.00	2.25	0.00	0.00	0.00	2.25
$microwave	home	0.00	0.00	0.88	1.36	0.00	0.00	0.00	2.24
$station	buildings	0.00	0.00	0.00	0.11	0.00	0.58	1.54	2.23
$pen	clothing	0.35	1.06	0.00	0.82	0.00	0.00	0.00	2.23
$zebras	animals_plants	0.00	0.00	1.76	0.00	0.00	0.00	0.44	2.21
$laptor	home	0.11	0.00	0.17	1.69	0.00	0.24	0.00	2.21
$cream	food	0.11	0.24	0.45	0.47	0.93	0.00	0.00	2.20
$pizza pan	home	0.00	0.00	0.00	1.74	0.33	0.00	0.11	2.19
$sign board	buildings	0.12	0.00	0.11	0.00	0.00	0.25	1.67	2.16
$topping	food	0.00	0.00	0.00	0.00	2.13	0.00	0.00	2.13
$oranges	home	0.00	0.00	0.00	1.06	0.96	0.11	0.00	2.13
$cucumber	food	0.11	0.00	0.00	0.76	1.25	0.00	0.00	2.12
$field	animals_plants	0.00	0.12	1.15	0.61	0.00	0.00	0.24	2.12
$chest	clothing	0.25	1.36	0.00	0.50	0.00	0.00	0.00	2.12
$biker	people	1.80	0.00	0.00	0.00	0.00	0.31	0.00	2.11
$cook	people	1.99	0.12	0.00	0.00	0.00	0.00	0.00	2.11
$corte	clothing	0.33	1.44	0.00	0.33	0.00	0.00	0.00	2.11
$airplance	vehicles	0.00	0.00	0.00	0.00	0.00	2.11	0.00	2.11
$platform	home	0.22	0.00	0.00	0.81	0.00	0.35	0.73	2.11
$roll	food	0.00	0.00	0.00	0.00	2.10	0.00	0.00	2.10
$ice cream	home	0.40	0.00	0.25	0.75	0.57	0.00	0.12	2.10
$benches	home	0.00	0.00	0.00	1.95	0.00	0.14	0.00	2.09
$blinds	home	0.00	0.00	0.00	2.08	0.00	0.00	0.00	2.08
$tend	buildings	0.00	0.00	0.00	0.00	0.00	0.00	2.08	2.08
$steak	animals_plants	0.00	0.00	1.15	0.22	0.69	0.00	0.00	2.07
$motocycle	vehicles	0.00	0.00	0.00	0.00	0.00	2.06	0.00	2.06
$placemat	home	0.00	0.00	0.17	1.88	0.00	0.00	0.00	2.05
$water bottle	home	0.57	0.22	0.44	0.81	0.00	0.00	0.00	2.04
$fountain	home	0.00	0.00	0.11	1.66	0.00	0.00	0.25	2.03
$tank	home	0.00	0.00	0.00	1.91	0.00	0.11	0.00	2.02
$handbag	people	0.89	0.35	0.00	0.44	0.00	0.22	0.11	2.02
$airopline	vehicles	0.00	0.00	0.00	0.00	0.00	2.02	0.00	2.02
$boats	vehicles	0.00	0.00	0.00	0.00	0.00	1.90	0.11	2.01
$aiplane	vehicles	0.00	0.00	0.00	0.00	0.00	2.00	0.00	2.00
$picnic table	home	0.00	0.00	0.00	1.98	0.00	0.00	0.00	1.98
$tooth brush	clothing	0.79	0.93	0.00	0.25	0.00	0.00	0.00	1.98
$button	clothing	0.22	1.17	0.12	0.35	0.00	0.11	0.00	1.98
$umberla	people	0.92	0.12	0.11	0.12	0.00	0.22	0.46	1.96
$deesert	clothing	0.52	0.95	0.12	0.36	0.00	0.00	0.00	1.96
$post	home	0.00	0.22	0.25	0.74	0.00	0.11	0.63	1.96
$fabric	clothing	0.00	1.54	0.00	0.41	0.00	0.00	0.00	1.95
$bikes	vehicles	0.11	0.00	0.00	0.00	0.00	1.59	0.25	1.95
$shopa	home	0.00	0.00	0.00	1.95	0.00	0.00	0.00	1.95
$wine bottle	home	0.33	0.00	0.00	1.05	0.56	0.00	0.00	1.93
$machine	home	0.00	0.11	0.00	1.21	0.00	0.49	0.12	1.93
$friend	people	1.93	0.00	0.00	0.00	0.00	0.00	0.00	1.93
$shrite	people	1.14	0.68	0.00	0.11	0.00	0.00	0.00	1.93
$cell phone	people	0.75	0.22	0.00	0.51	0.33	0.11	0.00	1.93
$hydrant	buildings	0.12	0.33	0.00	0.20	0.00	0.60	0.67	1.93
$headboard	home	0.00	0.00	0.00	1.92	0.00	0.00	0.00	1.92
$skating board	people	1.79	0.00	0.00	0.00	0.00	0.00	0.11	1.90
$trolley	vehicles	0.00	0.00	0.00	0.00	0.00	1.90	0.00	1.90
$helmat	people	0.80	0.73	0.00	0.00	0.11	0.00	0.24	1.88
$trough	home	0.00	0.00	0.00	1.86	0.00	0.00	0.00	1.86
$toll	people	0.49	0.36	0.36	0.39	0.12	0.00	0.12	1.85
$structure	buildings	0.00	0.00	0.00	0.33	0.00	0.11	1.42	1.85
$storefront	buildings	0.00	0.00	0.00	0.36	0.00	0.00	1.49	1.85
$outfit	clothing	0.11	1.62	0.00	0.11	0.00	0.00	0.00	1.85
$picture	home	0.53	0.14	0.00	0.67	0.00	0.11	0.39	1.84
$slice	food	0.00	0.00	0.00	0.00	1.83	0.00	0.00	1.83
$tiles	home	0.00	0.00	0.00	1.83	0.00	0.00	0.00	1.83
$tracks	buildings	0.00	0.14	0.00	0.58	0.00	0.35	0.75	1.82
$motorcyle	vehicles	0.00	0.00	0.00	0.00	0.00	1.71	0.11	1.82
$mother	people	1.80	0.00	0.00	0.00	0.00	0.00	0.00	1.80
$truck bed	vehicles	0.00	0.00	0.00	0.55	0.00	1.25	0.00	1.80
$frag	people	0.90	0.68	0.00	0.22	0.00	0.00	0.00	1.80
$kinfe	home	0.00	0.00	0.00	1.43	0.36	0.00	0.00	1.79
$train tracks	buildings	0.00	0.29	0.00	0.46	0.00	0.12	0.92	1.79
$hand bag	people	1.10	0.12	0.00	0.11	0.00	0.44	0.00	1.78
$tanktop	clothing	0.33	1.44	0.00	0.00	0.00	0.00	0.00	1.78
$airrow plane	vehicles	0.00	0.00	0.00	0.00	0.00	1.78	0.00	1.78
$specs	people	1.63	0.00	0.00	0.14	0.00	0.00	0.00	1.77
$collar	clothing	0.00	1.65	0.00	0.12	0.00	0.00	0.00	1.77
$windows	buildings	0.00	0.00	0.00	0.11	0.00	0.56	1.10	1.77
$die	people	0.78	0.22	0.50	0.24	0.00	0.00	0.00	1.74
$sandwich bun	food	0.00	0.00	0.00	0.00	1.74	0.00	0.00	1.74
$shart	people	0.80	0.71	0.00	0.11	0.00	0.00	0.11	1.73
$nut	home	0.11	0.11	0.14	0.64	0.58	0.00	0.14	1.73
$lopdop	home	0.00	0.11	0.00	1.61	0.00	0.00	0.00	1.73
$utensils	home	0.00	0.00	0.17	1.55	0.00	0.00	0.00	1.72
$lid	clothing	0.00	0.99	0.00	0.72	0.00	0.00	0.00	1.71
$train station	buildings	0.00	0.00	0.00	0.00	0.00	0.35	1.36	1.71
$tunnel	buildings	0.00	0.00	0.00	0.00	0.00	0.00	1.71	1.71
$can	food	0.00	0.00	0.00	0.68	0.78	0.24	0.00	1.69
$jumper	clothing	0.00	1.52	0.00	0.17	0.00	0.00	0.00	1.69
$buildings	buildings	0.00	0.00	0.00	0.00	0.00	0.20	1.49	1.69
$boll	animals_plants	0.57	0.36	0.63	0.00	0.00	0.00	0.12	1.69
$neck	clothing	0.00	1.43	0.25	0.00	0.00	0.00	0.00	1.68
$rose	animals_plants	0.00	0.00	1.33	0.24	0.11	0.00	0.00	1.68
$skating	people	1.55	0.00	0.00	0.00	0.00	0.00	0.12	1.68
$mountain	animals_plants	0.00	0.00	0.84	0.00	0.00	0.38	0.45	1.67
$breakfast	food	0.00	0.00	0.00	0.33	1.34	0.00	0.00	1.67
$faucet	home	0.11	0.67	0.12	0.77	0.00	0.00	0.00	1.67
$beans	food	0.00	0.00	0.00	0.12	1.54	0.00	0.00	1.67
$yacht	vehicles	0.00	0.00	0.00	0.00	0.00	1.53	0.14	1.67
$surfboard	people	0.46	0.00	0.00	0.36	0.00	0.43	0.42	1.67
$dirt bike	vehicles	0.11	0.00	0.00	0.00	0.00	1.55	0.00	1.67
$computer desk	home	0.00	0.00	0.00	1.66	0.00	0.00	0.00	1.66
$backpack	people	0.75	0.12	0.00	0.64	0.00	0.12	0.00	1.65
$apron	clothing	0.36	1.18	0.00	0.11	0.00	0.00	0.00	1.65
$hot dogs	food	0.00	0.00	0.00	0.62	0.65	0.00	0.38	1.65
$drinks	food	0.33	0.11	0.00	0.58	0.62	0.00	0.00	1.65
$chare	home	0.11	0.00	0.00	1.42	0.00	0.11	0.00	1.65
$bathroom counter	home	0.00	0.00	0.00	1.65	0.00	0.00	0.00	1.65
$bow	clothing	0.00	0.93	0.12	0.33	0.00	0.25	0.00	1.64
$hotdogs	buildings	0.11	0.00	0.00	0.22	0.61	0.00	0.68	1.63
$runway	vehicles	0.00	0.00	0.00	0.00	0.00	1.63	0.00	1.63
$ottoman	home	0.00	0.00	0.00	1.62	0.00	0.00	0.00	1.62
$shpfa	home	0.00	0.11	0.00	1.36	0.00	0.00	0.14	1.61
$pavillion	buildings	0.00	0.00	0.00	0.00	0.00	0.00	1.61	1.61
$number plate	vehicles	0.00	0.00	0.00	0.00	0.00	1.61	0.00	1.61
$cupboards	home	0.00	0.00	0.00	1.60	0.00	0.00	0.00	1.60
$airplanew	people	0.79	0.00	0.25	0.33	0.00	0.11	0.11	1.60
$weel	vehicles	0.00	0.25	0.00	0.11	0.00	1.12	0.11	1.60
$computer mouse	animals_plants	0.00	0.00	1.60	0.00	0.00	0.00	0.00	1.60
$tarp	buildings	0.00	0.00	0.00	0.51	0.00	0.25	0.82	1.59
$refrigerator	home	0.11	0.00	0.00	1.03	0.44	0.00	0.00	1.58
$girraffe	animals_plants	0.00	0.00	1.25	0.00	0.00	0.00	0.33	1.58
$airplane wing	vehicles	0.00	0.00	0.00	0.00	0.00	1.57	0.00	1.57
$cage	animals_plants	0.11	0.14	0.82	0.27	0.00	0.11	0.11	1.57
$bouquet	animals_plants	0.00	0.00	1.35	0.22	0.00	0.00	0.00	1.57
$fan	vehicles	0.00	0.31	0.00	0.25	0.00	1.00	0.00	1.56
$boik	vehicles	0.00	0.00	0.00	0.22	0.00	1.22	0.11	1.55
$lake	vehicles	0.11	0.00	0.00	0.00	0.00	0.96	0.48	1.55
$long sleeve shirt	clothing	0.00	1.54	0.00	0.00	0.00	0.00	0.00	1.54
$shelves	home	0.00	0.14	0.00	1.28	0.12	0.00	0.00	1.54
$saddle	animals_plants	0.00	0.00	1.53	0.00	0.00	0.00	0.00	1.53
$travel bag	home	0.11	0.28	0.14	0.99	0.00	0.00	0.00	1.52
$self	home	0.00	0.00	0.33	1.18	0.00	0.00	0.00	1.52
$bicyclist	people	1.51	0.00	0.00	0.00	0.00	0.00	0.00	1.51
$lap	home	0.17	0.00	0.00	0.94	0.00	0.00	0.40	1.51
$dogs	animals_plants	0.00	0.00	1.02	0.34	0.00	0.14	0.00	1.50
$purse	clothing	0.46	0.56	0.00	0.48	0.00	0.00	0.00	1.50
$lunch	home	0.00	0.00	0.00	0.84	0.55	0.00	0.11	1.49
$shrit	clothing	0.44	0.56	0.14	0.35	0.00	0.00	0.00	1.49
$tile	home	0.00	0.00	0.28	1.21	0.00	0.00	0.00	1.49
$bumper	vehicles	0.00	0.00	0.00	0.25	0.00	1.24	0.00	1.49
$dall	home	0.47	0.25	0.25	0.50	0.00	0.00	0.00	1.48
$stir fry	food	0.00	0.00	0.00	0.61	0.86	0.00	0.00	1.48
$tux	clothing	0.00	1.47	0.00	0.00	0.00	0.00	0.00	1.47
$counters	home	0.00	0.00	0.00	1.46	0.00	0.00	0.00	1.46
$lorry	vehicles	0.00	0.00	0.00	0.12	0.00	1.33	0.00	1.46
$caboose	vehicles	0.00	0.00	0.00	0.00	0.00	1.46	0.00	1.46
$trees	buildings	0.25	0.00	0.00	0.00	0.00	0.11	1.09	1.45
$stew	food	0.00	0.00	0.00	0.11	1.34	0.00	0.00	1.45
$mitt	clothing	0.00	1.44	0.00	0.00	0.00	0.00	0.00	1.44
$suitcoat	clothing	0.00	1.44	0.00	0.00	0.00	0.00	0.00	1.44
$liquid	food	0.00	0.12	0.00	0.36	0.95	0.00	0.00	1.44
$side mirror	vehicles	0.11	0.17	0.25	0.00	0.00	0.68	0.22	1.43
$drawers	home	0.00	0.00	0.00	1.43	0.00	0.00	0.00	1.43
$boxcar	vehicles	0.00	0.00	0.00	0.00	0.12	1.30	0.00	1.43
$scatboard	people	1.14	0.00	0.00	0.28	0.00	0.00	0.00	1.42
$friends	people	1.18	0.00	0.00	0.22	0.00	0.00	0.00	1.41
$gallary	buildings	0.00	0.00	0.00	0.00	0.00	0.00	1.40	1.40
$pottery	home	0.00	0.00	0.00	1.39	0.00	0.00	0.00	1.39
$quilt	home	0.00	0.00	0.12	1.26	0.00	0.00	0.00	1.38
$veggies	home	0.00	0.00	0.00	0.89	0.36	0.12	0.00	1.38
$scating	people	1.23	0.00	0.00	0.14	0.00	0.00	0.00	1.38
$girafee	animals_plants	0.00	0.00	1.38	0.00	0.00	0.00	0.00	1.38
$cart	vehicles	0.00	0.00	0.00	0.42	0.00	0.80	0.14	1.37
$animals	animals_plants	0.00	0.00	1.13	0.12	0.00	0.00	0.11	1.37
$crane	animals_plants	0.12	0.00	1.24	0.00	0.00	0.00	0.00	1.36
$cabin	buildings	0.00	0.00	0.00	0.11	0.00	0.00	1.25	1.36
$airplaine	vehicles	0.00	0.00	0.00	0.00	0.00	1.36	0.00	1.36
$iren	home	0.24	0.00	0.00	1.01	0.00	0.11	0.00	1.36
$trean	vehicles	0.00	0.00	0.12	0.00	0.00	1.11	0.11	1.35
$car hood	clothing	0.00	1.34	0.00	0.00	0.00	0.00	0.00	1.34
$bedding	home	0.00	0.00	0.00	1.34	0.00	0.00	0.00	1.34
$cookies	home	0.17	0.00	0.00	0.88	0.29	0.00	0.00	1.33
$motorcycles	vehicles	0.00	0.00	0.00	0.00	0.00	1.33	0.00	1.33
$court	home	0.22	0.11	0.00	0.99	0.00	0.00	0.00	1.32
$pellow	home	0.11	0.12	0.00	1.08	0.00	0.00	0.00	1.32
$stick	home	0.11	0.11	0.29	0.69	0.12	0.00	0.00	1.32
$baker	people	1.21	0.11	0.00	0.00	0.00	0.00	0.00	1.32
$guinea pig	animals_plants	0.00	0.00	1.32	0.00	0.00	0.00	0.00	1.32
$snakcks	food	0.00	0.00	0.11	0.11	0.86	0.00	0.22	1.30
$taco	food	0.00	0.00	0.00	0.00	1.30	0.00	0.00	1.30
$coffee table	home	0.00	0.00	0.00	1.29	0.00	0.00	0.00	1.29
$tennis outfit	clothing	0.12	1.17	0.00	0.00	0.00	0.00	0.00	1.29
$produce	home	0.00	0.00	0.00	0.84	0.45	0.00	0.00	1.29
$railway	buildings	0.00	0.00	0.00	0.00	0.00	0.44	0.85	1.29
$metro	vehicles	0.00	0.00	0.00	0.00	0.00	1.29	0.00	1.29
$doorway	buildings	0.00	0.00	0.00	0.29	0.00	0.00	1.00	1.29
$mike	people	0.56	0.25	0.00	0.47	0.00	0.00	0.00	1.28
$table cloth	home	0.11	0.00	0.00	1.06	0.00	0.00	0.11	1.28
$decoration	home	0.00	0.00	0.46	0.57	0.25	0.00	0.00	1.28
$food counter	home	0.00	0.00	0.00	1.15	0.00	0.00	0.12	1.28
$yak	animals_plants	0.00	0.00	1.28	0.00	0.00	0.00	0.00	1.28
$toilet sink	home	0.00	0.12	0.00	1.00	0.00	0.00	0.14	1.27
$skiers	people	1.27	0.00	0.00	0.00	0.00	0.00	0.00	1.27
$utensil	home	0.00	0.11	0.00	1.16	0.00	0.00	0.00	1.27
$shair	home	0.11	0.00	0.00	1.04	0.00	0.11	0.00	1.27
$pastries	home	0.00	0.50	0.00	0.51	0.25	0.00	0.00	1.26
$coffee cup	home	0.00	0.11	0.00	0.79	0.36	0.00	0.00	1.26
$tid	clothing	0.11	1.03	0.00	0.00	0.00	0.11	0.00	1.25
$tarmac	vehicles	0.00	0.00	0.00	0.00	0.00	1.25	0.00	1.25
$office table	home	0.00	0.00	0.00	1.25	0.00	0.00	0.00	1.25
$juck	home	0.33	0.00	0.00	0.91	0.00	0.00	0.00	1.25
$showfa	home	0.14	0.14	0.00	0.96	0.00	0.00	0.00	1.25
$trunk	vehicles	0.11	0.28	0.00	0.11	0.00	0.74	0.00	1.24
$pargar	food	0.00	0.12	0.00	0.11	1.01	0.00	0.00	1.24
$comforter	home	0.00	0.00	0.00	1.24	0.00	0.00	0.00	1.24
$flag	animals_plants	0.00	0.22	0.46	0.00	0.00	0.22	0.33	1.24
$airplanes	vehicles	0.00	0.00	0.00	0.00	0.00	1.24	0.00	1.24
$bedroom	home	0.00	0.00	0.00	1.23	0.00	0.00	0.00	1.23
$semi truck	vehicles	0.00	0.00	0.00	0.00	0.00	1.23	0.00	1.23
$teeth	clothing	0.44	0.51	0.28	0.00	0.00	0.00	0.00	1.23
$leaves	animals_plants	0.00	0.00	0.69	0.25	0.29	0.00	0.00	1.23
$vent	clothing	0.00	1.23	0.00	0.00	0.00	0.00	0.00	1.23
$deer	animals_plants	0.50	0.14	0.57	0.00	0.00	0.00	0.00	1.22
$ducks	animals_plants	0.00	0.00	1.21	0.00	0.00	0.00	0.00	1.21
$bears	animals_plants	0.00	0.00	0.86	0.35	0.00	0.00	0.00	1.21
$art	animals_plants	0.29	0.17	0.41	0.22	0.11	0.00	0.00	1.20
$finger	animals_plants	0.00	0.00	1.00	0.20	0.00	0.00	0.00	1.20
$mate	home	0.00	0.00	0.00	1.09	0.11	0.00	0.00	1.20
$sculpture	home	0.00	0.00	0.38	0.71	0.00	0.00	0.11	1.20
$tin	home	0.12	0.11	0.12	0.72	0.00	0.00	0.11	1.19
$crowd	buildings	0.11	0.00	0.50	0.00	0.00	0.00	0.58	1.19
$sanwich	food	0.00	0.00	0.00	0.00	1.07	0.11	0.00	1.18
$torso	clothing	0.00	1.06	0.00	0.12	0.00	0.00	0.00	1.18
$silverware	home	0.00	0.00	0.00	1.18	0.00	0.00	0.00	1.18
$lights	buildings	0.00	0.00	0.00	0.11	0.00	0.31	0.76	1.18
$voat	vehicles	0.00	0.00	0.25	0.00	0.00	0.93	0.00	1.18
$t shaer	people	0.81	0.00	0.00	0.36	0.00	0.00	0.00	1.17
$tay	animals_plants	0.24	0.00	0.37	0.22	0.00	0.22	0.12	1.17
$bird bath	home	0.00	0.00	0.00	1.17	0.00	0.00	0.00	1.17
$back bag	people	0.71	0.24	0.00	0.00	0.00	0.11	0.11	1.17
$clock tower	buildings	0.00	0.00	0.11	0.00	0.00	0.12	0.93	1.17
$chips	people	0.80	0.00	0.00	0.25	0.11	0.00	0.00	1.17
$porch	buildings	0.00	0.12	0.00	0.00	0.00	0.17	0.87	1.16
$pet	home	0.00	0.00	0.25	0.90	0.00	0.00	0.00	1.16
$strawberry	food	0.00	0.00	0.00	0.22	0.93	0.00	0.00	1.15
$sunglases	people	0.90	0.00	0.25	0.00	0.00	0.00	0.00	1.15
$bedspread	home	0.00	0.00	0.00	1.15	0.00	0.00	0.00	1.15
$sail boat	vehicles	0.00	0.00	0.12	0.00	0.00	1.03	0.00	1.15
$bush	animals_plants	0.50	0.00	0.51	0.00	0.00	0.00	0.14	1.15
$bunk bed	home	0.00	0.00	0.00	1.14	0.00	0.00	0.00	1.14
$seats	home	0.11	0.00	0.00	0.90	0.00	0.12	0.00	1.14
$walker	people	1.03	0.11	0.00	0.00	0.00	0.00	0.00	1.14
$bowle	home	0.00	0.00	0.00	1.03	0.00	0.00	0.11	1.14
$flooring	home	0.00	0.00	0.00	1.13	0.00	0.00	0.00	1.13
$sail	vehicles	0.00	0.00	0.00	0.22	0.00	0.90	0.00	1.12
$dancer	people	1.12	0.00	0.00	0.00	0.00	0.00	0.00	1.12
$band	people	0.90	0.11	0.00	0.11	0.00	0.00	0.00	1.12
$tank top	clothing	0.35	0.78	0.00	0.00	0.00	0.00	0.00	1.12
$chicken wire	home	0.11	0.24	0.00	0.78	0.00	0.00	0.00	1.12
$talker	people	1.12	0.00	0.00	0.00	0.00	0.00	0.00	1.12
$sieeveless	people	0.52	0.35	0.00	0.25	0.00	0.00	0.00	1.11
$patio	buildings	0.00	0.00	0.00	0.50	0.00	0.00	0.61	1.11
$boardwalk	buildings	0.00	0.00	0.00	0.14	0.00	0.00	0.97	1.11
$french fries	people	0.47	0.00	0.00	0.36	0.17	0.11	0.00	1.11
$pizzas	home	0.00	0.00	0.00	0.88	0.24	0.00	0.00	1.11
$flower bott	home	0.00	0.00	0.42	0.69	0.00	0.00	0.00	1.11
$traveler	people	1.11	0.00	0.00	0.00	0.00	0.00	0.00	1.11
$clase	people	0.67	0.11	0.00	0.11	0.11	0.11	0.00	1.11
$cab	people	0.67	0.11	0.00	0.00	0.00	0.22	0.11	1.11
$ski jacket	clothing	0.11	1.00	0.00	0.00	0.00	0.00	0.00	1.11
$airrowplane	vehicles	0.00	0.00	0.00	0.11	0.00	1.00	0.00	1.11
$airoplane	vehicles	0.00	0.00	0.00	0.00	0.00	1.11	0.00	1.11
$sneakers	home	0.35	0.12	0.00	0.63	0.00	0.00	0.00	1.10
$roadway	buildings	0.00	0.00	0.00	0.00	0.00	0.00	1.10	1.10
$cyecle	home	0.33	0.00	0.14	0.39	0.00	0.22	0.00	1.09
$vegtable	food	0.14	0.00	0.00	0.47	0.47	0.00	0.00	1.09
$frame	home	0.11	0.00	0.00	0.85	0.00	0.00	0.12	1.09
$windshield	vehicles	0.00	0.50	0.00	0.00	0.00	0.58	0.00	1.08
$beard	clothing	0.22	0.71	0.14	0.00	0.00	0.00	0.00	1.08
$earings	people	0.68	0.39	0.00	0.00	0.00	0.00	0.00	1.07
$futon	home	0.00	0.00	0.00	0.82	0.00	0.00	0.25	1.07
$case	home	0.00	0.12	0.00	0.81	0.00	0.12	0.00	1.06
$bacon	food	0.00	0.00	0.00	0.00	1.06	0.00	0.00	1.06
$showba	home	0.00	0.00	0.12	0.93	0.00	0.00	0.00	1.06
$kerchief	food	0.25	0.35	0.00	0.00	0.46	0.00	0.00	1.06
$tomatoes	food	0.11	0.00	0.00	0.11	0.83	0.00	0.00	1.06
$railcar	vehicles	0.00	0.00	0.00	0.00	0.00	1.05	0.00	1.05
$pickles	food	0.00	0.00	0.00	0.20	0.85	0.00	0.00	1.05
$semi	vehicles	0.00	0.00	0.00	0.00	0.00	1.05	0.00	1.05
$speaker	home	0.35	0.00	0.00	0.70	0.00	0.00	0.00	1.04
$hotbun	food	0.11	0.00	0.00	0.00	0.93	0.00	0.00	1.04
$shopper	people	1.04	0.00	0.00	0.00	0.00	0.00	0.00	1.04
$shoo	people	0.69	0.00	0.22	0.00	0.00	0.12	0.00	1.04
$barger	food	0.00	0.00	0.11	0.00	0.93	0.00	0.00	1.04
$tarin	vehicles	0.00	0.00	0.00	0.00	0.00	1.04	0.00	1.04
$bezza	food	0.12	0.11	0.00	0.14	0.46	0.20	0.00	1.04
$toilet seat	home	0.00	0.00	0.00	0.92	0.00	0.11	0.00	1.03
$desert	food	0.00	0.11	0.00	0.00	0.59	0.00	0.33	1.03
$card	home	0.00	0.11	0.00	0.59	0.33	0.00	0.00	1.03
$skyboard	people	0.92	0.11	0.00	0.00	0.00	0.00	0.00	1.03
$laptops	home	0.00	0.00	0.00	1.03	0.00	0.00	0.00	1.03
$garbage truck	vehicles	0.00	0.00	0.00	0.00	0.00	1.03	0.00	1.03
$feathers	animals_plants	0.00	0.33	0.69	0.00	0.00	0.00	0.00	1.03
$boul	home	0.00	0.00	0.17	0.71	0.14	0.00	0.00	1.02
$lime	food	0.00	0.00	0.12	0.00	0.89	0.00	0.00	1.01
$rocking chair	home	0.00	0.00	0.00	1.01	0.00	0.00	0.00	1.01
$airplan	vehicles	0.00	0.00	0.00	0.00	0.00	1.01	0.00	1.01
$girrafe	animals_plants	0.00	0.00	1.01	0.00	0.00	0.00	0.00	1.01
$mouth	clothing	0.00	0.77	0.12	0.11	0.00	0.00	0.00	1.01
$hammock	home	0.00	0.00	0.00	1.00	0.00	0.00	0.00	1.00
$bus stop	buildings	0.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00
$ironwork	animals_plants	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00
$rhinoceros	animals_plants	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00
$salmon	animals_plants	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00
$cloths	people	0.56	0.00	0.00	0.33	0.00	0.00	0.11	1.00
$phant	people	0.44	0.00	0.00	0.44	0.00	0.00	0.11	1.00
$shoopn	home	0.11	0.00	0.00	0.78	0.11	0.00	0.00	1.00
$wedding cake	food	0.00	0.00	0.00	0.00	1.00	0.00	0.00	1.00
$boeing	vehicles	0.00	0.00	0.00	0.00	0.00	1.00	0.00	1.00
$stovetop	home	0.00	0.00	0.00	0.77	0.00	0.00	0.22	0.99
$palte	home	0.00	0.00	0.20	0.46	0.22	0.00	0.11	0.99
$chocolate	food	0.17	0.00	0.00	0.36	0.46	0.00	0.00	0.99
